"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",3581.40538796404
"2","member","Sunday",919.974616087876
"3","casual","Monday",3372.28692301734
"4","member","Monday",842.57256944173
"5","casual","Tuesday",3596.35994917696
"6","member","Tuesday",826.142747003065
"7","casual","Wednesday",3718.66189688165
"8","member","Wednesday",823.999644233876
"9","casual","Thursday",3682.98467067279
"10","member","Thursday",823.92780326193
"11","casual","Friday",3773.83511159716
"12","member","Friday",824.530506415901
"13","casual","Saturday",3331.91384107334
"14","member","Saturday",968.933722973478
